Ингредиент,"Белки, г","Жиры, г","Углеводы, г","Энергетическая ценность, кКал","Клетчатка, г","Лактоза, г","Глютен, г"
Масло кокосовое гидрогенизированное,0.0,100.0,0.0,899.0,0.0,0.0,0.0
Масло пальмовое гидрогенизированное,0.0,100.0,0.0,899.0,0.0,0.0,0.0
Заменитель молочного жира (ЗМЖ),0.0,100.0,0.0,899.0,0.0,0.0,0.0
Заменитель какао масла (ЗМК),0.0,100.0,0.0,899.0,0.0,0.0,0.0
Глицерин,0.0,100.0,0.0,720.0,0.0,0.0,0.0
Какао масло,0.0,100.0,0.0,899.0,0.0,0.0,0.0
Какао порошок 11%,20.0,14.0,23.0,228.0,33.0,0.0,0.0
Какао порошок обезжиренный,22.0,7.0,26.0,228.0,40.0,0.0,0.0
Какао тертое,13.5,49.4,13.6,559.0,16.5,0.0,0.0
Молочный шоколад/глазурь,9.8,35.0,50.4,554.0,12.0,5.0,0.0
Белый шоколад/глазурь,6.0,32.0,59.0,539.0,0.0,6.0,0.0
Темный шоколад/глазурь 50%,8.0,25.0,50.0,539.0,13.2,0.0,0.0
Темный шоколад/глазурь 60%,8.8,27.5,40.0,539.0,14.52,0.0,0.0
Темный шоколад/глазурь 70%,9.6,30.0,30.0,539.0,15.84,0.0,0.0
Темный шоколад/глазурь 80%,10.4,32.5,20.0,539.0,17.16,0.0,0.0
Паста из фисташек 100% без сахара,20.0,49.0,16.0,580.0,15.0,0.0,0.0
Паста из фундука 100% без сахара,16.0,55.0,18.0,640.0,11.0,0.0,0.0
Пюре маракуйя 21% сухих без сахара,2.0,0.65,18.5,110.0,12.0,0.0,0.0
Пюре вишня 28% сухих без сахара,0.8,0.0,27.0,117.0,16.0,0.0,0.0
Пюре малина 60% сухих без сахара,4.5,1.0,53.0,245.0,0.0,0.0,0.0
Кокосовая стружка,5.0,64.0,15.0,660.0,16.0,0.0,0.0
Арахис жареный (соленый),26.0,52.0,13.4,626.0,4.8,0.0,0.0
Начинка а-ля Нутелла Кранч,9.1,39.0,45.0,577.0,4.9,5.0,0.0
Начинка Вишня 80% с кусочками фруктов,0.6,0.1,37.0,150.0,3.0,0.0,0.0
Начинка Апельсин 30%,0.0,0.0,54.0,220.0,2.0,0.0,0.0
Соль,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сорбат калия,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ванилин,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ароматизатор 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ароматизатор 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ароматизатор 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Корица,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Сода пищевая,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Разрыхлитель,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Желатин (Блюм в примечании),87.2,0.4,0.0,355.0,0.0,0.0,0.0
Агар-Агар,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Каррагинан Йота,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Каррагинан Каппа,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Каррагинан Лямбда,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Гуаровая камедь,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Ксантановая камедь,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Кэроб гам,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Конжаковая камедь,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Альгинат натрия,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Кислота лимонная,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кислота яблочная,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кислота молочная,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Водорастворимая клетчатка (Биоцель),0.0,0.0,0.0,0.0,94.0,0.0,0.0
Добавка 1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Добавка 2,0.0,0.0,0.0,0.0,100.0,0.0,0.0
HPMC (Гидроксипропил Метилцеллюлоза) Е-464,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Пектин низкоэритифицированный,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Пектин высокоэритифицированный,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Эмульгатор ПГПР Е-476,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Лецитин соевый,0.0,80.0,0.0,772.0,0.0,0.0,0.0
